,Symbol,Exchange,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM
26,TEL.OL,Osaka Exchange,0.766657,0.762414,3.14071,0.49,69.81214222222279,18.376427671388104,34.55480321937046,7.694439665863916,0.4535534626876962,2.898550724637681
27,SKUE.OL,Osaka Exchange,1.0,1.0,20.27155,5.13662,0.6080293815698123,0.4863194634404768,3.122510449088484,0.24789352178701535,0.024552905572446177,15.202702702702704
28,KOG.OL,Osaka Exchange,0.0,0.0,1.47,9.08441,1.2237934686231555,-72.23582897777779,11.080058982530891,1.809288139706394,0.6483948895474809,1.7265193370165743
29,BRG.OL,Osaka Exchange,0.0,0.0,1.01334,1.02,34.768912978696136,57.052957862068965,35.581414580645166,4.523679502392345,0.7493878726775169,3.463855421686746
30,WWI.OL,Osaka Exchange,0.697436,0.699531,1.2786,-6.34814,4.457780832693194,191.43176470588236,-28.298608695652174,4.137749523204069,0.2982149107455373,3.0821917808219177
31,MELG.OL,Osaka Exchange,1.0,1.0,11.17186,4.76994,0.9122160129161307,9.292886678693508,4.365710573856413,0.3718016042455715,0.02398094452025244,7.092198581560284
32,OLT.OL,Osaka Exchange,0.778531,0.628141,1.98765,-20.0,0.763699854500104,17.608695652173914,-20.035335689045937,0.4457196761260907,0.06617990553142897,
33,DNB.OL,Osaka Exchange,1.0,1.0,3.05872,2.28,4.788158985853939,-498.47700374654374,10.97499084953328,0.9030832858538296,0.020679947072223624,6.479481641468682
34,ENTRA.OL,Osaka Exchange,0.869852,0.915702,3.88248,0.19769,51.642873124732105,60.91734015345269,10.20946420917274,1.0412537704918035,0.04788265642358169,3.669724770642201
35,NOR.OL,Osaka Exchange,0.555556,0.594595,0.6,-0.6,-46.03860825946586,39.529245752268686,19.336217402597402,6.737053122171945,0.21324549237170595,
36,EQNR.OL,Osaka Exchange,0.636388,0.509061,-0.07753,-0.21422,861.7829891072662,102.74727272727273,-186.24614050303555,12.068553123331554,0.4550499638448202,0.6712433257055683
37,TOTG.OL,Osaka Exchange,1.0,1.0,10.73133,3.7426,1.1596419295173641,-3.3110614666516707,4.574262652608213,0.4328314924162267,0.02509360124000717,5.343511450381679
38,SBTE.OL,Osaka Exchange,1.0,0.0,7.70612,5.97591,0.7163751123637505,-131.840748,4.350878255962458,0.369095039193729,0.02933513438142713,4.715447154471544
39,HSPG.OL,Osaka Exchange,1.0,1.0,26.22408,7.81043,0.18661792339642555,22.72698891625622,1.4566800197335965,0.10974781745087778,0.024944604066986856,6.779661016949153
40,ATEA.OL,Osaka Exchange,0.194754,0.220834,1.36,0.05424,452.0094291147637,-28.637930579310346,24.4264702,3.424271523364486,2.500995883680786,2.8966131907308377
41,VEI.OL,Osaka Exchange,0.0,0.0,3.08989,-0.69652,-21.87583453778145,-8.726964341801386,15.236998225806452,3.5448175984990615,1.5999649706629302,
42,CRAYON.OL,Osaka Exchange,0.109243,0.122553,1.22001,-0.62,-3842.172953098553,-14.177621078669747,2252.1746219572774,8.935730017867016,2.3744549422663233,
