,Symbol,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM,Cluster
34,BAJFINANCE.NS,0.596382,0.6059859999999999,15.93,15.682870000000001,2.473432746589,-14.831530389925954,38.81955156601707,6.041091673263707,0.16558503040640152,0.3093245897582629,1
35,OFSS.NS,0.0,0.0,55.65,31.21916,0.5704829377777766,36.165672494485534,17.814418018055445,4.2427192897415065,0.6137914045327068,5.567756503448916,0
36,HEROMOTOCO.NS,0.305748,0.31812399999999996,2.96,30.270709999999998,0.8582366685602172,49.33005115008156,25.972104573563513,4.407978662465259,1.2218331031657406,2.831657935721365,0
37,WENDT.NS,0.60463,0.720456,2.05,-3.8735,-23.537758076459003,42.4853641933288,91.17350590916395,4.533162885459755,0.6880021401303992,0.8011408245341366,1
39,DIVISLAB.NS,0.630251,0.629124,18.54,14.62,3.499885075234588,228.96253226211826,51.19582483231631,11.178881268789537,0.6984793279988754,0.5196576755062603,1
40,ALKYLAMINE.NS,0.558916,0.540383,25.81,24.17547,1.203564815672031,99.60308529040405,29.02353571183839,11.760886080903234,1.240514169165015,0.6480881399870383,2
41,LTI.NS,0.8373799999999999,0.797404,23.74,24.29751,1.4144487121425426,284.6548133639456,34.40921932687077,9.137835517193013,1.2221503916561614,0.9032695130409536,1
42,MAHSCOOTER.NS,0.631206,0.491151,1.27,93.74996,0.19253522996551656,7550.8313060465125,18.06793922183696,0.395438635125103,0.001870399927622677,1.7582108446444895,2
43,FINEORG.NS,0.389934,0.414567,9.34,11.21,4.735962572539472,112.20021100108518,53.07571830994952,13.364879380155491,1.2059092567111755,0.2594322140686384,0
44,ICRA.NS,0.0,0.0,17.47999,35.94998,0.7938007984440096,124.77982559433964,28.538487624267077,3.770349028605017,0.3709763469773868,1.9637077711916795,0
46,TCS.NS,0.9174540000000001,0.911043,19.92067,18.67612,1.7537951552493496,120.5756672247658,32.75409478999673,10.552287809300273,1.186352119222177,1.0465724751439036,1
47,TORNTPHARM.NS,0.7397859999999999,0.728759,18.98,18.54456,2.181396580943196,56.02071613480393,40.46392412810254,9.477673497373123,0.5679889783220863,0.5549594879573791,1
