,Symbol,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM,Cluster
38,VASTN.AS,0.8306309999999999,0.925665,-1.2323899999999999,0.75439,46.98661746614465,19.529148802512765,38.387607177310436,0.5247287333222566,0.08816262245966534,9.999999999999998,0
40,ARCAD.AS,0.0,0.0,0.68981,-0.26535,-543.5457785619474,8.31094254084315,142.67229054184034,1.825824114490748,1.708407124102454,2.825428859737639,2
41,BOKA.AS,0.14394500000000002,0.46631000000000006,-0.73468,0.55513,-46.34799300570789,11.02279423397307,-25.9929257109511,1.0594007772350815,1.1455400448778803,2.6301946344029457,2
42,REN.AS,0.6421020000000001,0.65153,0.28265999999999997,0.37275,34.196100171646926,33.10303373382625,12.805678405434394,17.228226310726313,1.016706762897621,2.47361299052774,2
43,ACOMO.AS,0.184321,0.190129,0.6609999999999999,0.66091,10.754121903186793,13.757207680909614,7.112837723577236,2.259075293720392,3.8023725134850497,5.958829902491875,1
46,VLK.AS,1.0,1.0,0.22915,0.3564,13.330594869758643,2.568063450325059,4.7365225984122175,0.5199183205381804,0.08242258056181627,17.62246117084827,0
49,AMG.AS,0.09894,0.15509,-0.44,-0.48,16.906982761103038,-96.59904218878813,-8.068211676306548,4.155939568887549,0.7231401662253241,1.8198362147406733,2
50,AJAX.AS,0.91876,0.939092,-1.76225,2.88922,1.3970783054457303,-18.925491821705425,4.036464775420225,1.2811035949327234,0.7116115771564568,1.5644555694618274,0
51,SBMO.AS,0.254397,0.279474,0.51753,1.21832,4.2445405971026515,8.015213991,5.303071638657845,1.221831401067073,0.5952952472395583,5.080122741220593,1
52,INTER.AS,0.0,0.0,-0.09437000000000001,-0.0239,-1869.185055131761,14.725603791342357,44.5940194103941,1.7690151009516462,0.2706218272611137,2.0491803278688523,1
