,Symbol,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM,Cluster
18,ULVR.L,0.0,0.0,1.25,0.99665,813.9450054761992,1690.5554523093745,811.4045254804222,791.0662318562568,1.4539202591719005,0.03049479719685708,0
19,RIO.L,0.0,0.0,2.036,2.37046,152.5486754750558,1134.6191700546033,363.4154774664788,190.71344554787885,0.9835086183440004,0.06470934030045722,0
20,KNM.L,0.431751,0.358114,30.941540000000003,26.172929999999997,1.3922630151445683,67.2266496033471,36.81164115739363,2.278433027207001,0.6137190610906594,0.15334063526834613,1
21,CGT.L,1.0530329999999999,0.9476049999999999,-2.12142,1.99117,2460.262121027384,27379.753606466,3984.043958958553,104.49598448279896,0.035316804866176,0.00555432126194179,0
22,AVV.L,0.778683,0.7644810000000001,0.32,0.1112,63374.55132970755,20315.7151769813,7046.964677606176,375.99296523664833,0.6465217742587057,0.009866962305986694,0
24,XPP.L,0.449096,0.455446,0.4123,0.52249,3732.607527637299,6440.342857142858,1937.9312217194572,568.0143236074272,1.6269492203118752,0.0045871559633027525,0
25,BVXP.L,0.925233,0.9112899999999999,0.6814,0.59578,3010.3903138151036,7540.813136784366,1793.4028239107856,2238.167337374198,1.75017743994889,0.019729023056810083,0
26,BKG.L,0.304295,0.361263,1.33239,1.83811,354.85286536560653,1362.400524693358,567.4151968385543,189.8030908950219,0.8632052098817866,0.04903041825095058,0
27,GNS.L,0.0,0.0,0.2588,0.36239,15167.194023569293,31465.167058823532,5537.348240165632,525.6562893081759,1.197076090710257,0.006844660194174757,0
28,AVON.L,0.36536399999999997,0.432356,0.04206,0.37311,12343.71410422725,8127.4326953947375,4592.452675464684,1536.5295643034824,1.3772363913208985,0.005732276419326404,0
30,DPH.L,0.554014,0.579074,0.19929000000000002,0.12804000000000001,44196.58707804265,6476.115245551601,5616.630814814815,570.9140028235295,0.8055106658047835,0.009243721461187215,0
31,CWK.L,0.134864,0.13026,0.85665,0.72942,1628.0494604497094,4607.499794871795,1179.8587787261984,292.4206541903987,3.1183324962330485,0.017578579743888243,0
33,FDP.L,0.439,0.41121599999999997,0.29999000000000003,0.24151999999999998,13618.787770799996,9452.673840008194,3287.9597655693315,565.6158928910708,1.3555222653737105,0.0025335320417287635,0
35,SKG.L,0.335237,0.33258000000000004,1.1638700000000002,0.60251,-6596.686868686869,1100.8377581120944,-3991.2727272727284,244.79107904230892,1.7521940637018043,0.025797193877551017,0
36,EXPN.L,0.0,0.0,0.35495,0.38681,5160.170247179828,5830.5970149253735,1996.0218978102191,1202.0,1.1282166535565794,0.01236811980033278,0
